date,temp_max_f,temp_min_f,temp_mean_f,precip_in,wind_max_mph,humidity_mean,pressure_mean_hpa
2021-11-23,67.4,49.3,57.0,0.0,6.7,64.6,1014.0
2021-11-24,70.9,53.7,61.4,0.65,7.4,63.5,1012.5
2021-11-25,68.1,52.9,60.7,0.0,7.2,61.9,1020.1
2021-11-26,64.0,46.5,55.1,0.0,9.9,61.3,1014.5
2021-11-27,68.9,54.4,61.6,0.0,11.4,65.2,1010.3
2021-11-28,70.9,53.7,62.2,0.18,14.4,62.3,1011.4
2021-11-29,73.0,55.3,64.4,0.0,7.0,63.9,1013.1
2021-11-30,71.2,55.1,64.0,0.0,10.1,63.2,1020.7
2021-12-01,61.2,44.3,52.8,0.0,12.9,67.6,1019.7
2021-12-02,62.0,44.2,54.6,0.0,13.7,65.2,1015.4
2021-12-03,71.1,53.3,60.9,0.15,10.8,62.7,1006.9
2021-12-04,71.4,51.6,60.6,0.0,8.1,69.1,1010.1
2021-12-05,67.7,53.2,60.4,0.0,9.8,63.5,1015.1
2021-12-06,86.1,68.0,75.2,0.0,4.4,67.8,1016.3
2021-12-07,69.4,51.0,60.3,0.0,8.2,64.2,1013.5
2021-12-08,70.8,53.3,62.6,0.04,14.0,51.8,1010.1
2021-12-09,68.9,51.1,61.6,0.0,11.6,67.4,1012.6
2021-12-10,69.0,50.8,60.0,0.68,9.9,61.4,1011.9
2021-12-11,65.6,44.6,55.5,0.0,9.9,60.3,1005.5
2021-12-12,69.9,52.9,60.1,0.0,5.7,61.9,1010.6
2021-12-13,60.2,45.6,53.0,0.0,11.8,58.6,1012.5
2021-12-14,62.6,48.1,55.3,0.0,8.7,61.4,1019.8
2021-12-15,62.6,46.2,54.0,0.01,9.9,57.1,1008.7
2021-12-16,64.5,47.2,56.3,0.0,7.6,66.4,1015.7
2021-12-17,74.2,56.6,66.2,0.0,8.7,59.3,1015.9
2021-12-18,55.4,40.1,47.2,0.04,9.2,57.9,1017.2
2021-12-19,68.8,47.8,58.6,0.0,11.6,55.0,1020.1
2021-12-20,58.8,37.7,48.1,0.0,7.4,60.9,1014.8
2021-12-21,61.7,44.9,53.1,0.0,15.4,60.4,1013.1
2021-12-22,70.6,52.6,59.9,0.0,14.9,61.3,1012.3
2021-12-23,63.5,47.5,55.2,0.05,7.4,54.1,1011.0
2021-12-24,58.8,42.4,49.9,0.0,9.3,51.2,1013.3
2021-12-25,59.3,43.9,51.4,1.13,8.4,62.2,1014.2
2021-12-26,67.1,48.5,57.6,0.0,7.7,66.4,1016.7
2021-12-27,62.0,43.1,51.1,0.0,17.0,53.8,1017.4
2021-12-28,64.7,46.8,55.2,0.0,7.8,66.8,1020.0
2021-12-29,62.8,43.4,54.4,0.0,10.4,60.2,1022.5
2021-12-30,60.7,41.4,51.1,0.0,11.2,58.7,1015.5
2021-12-31,71.1,52.8,63.6,0.0,5.0,56.6,1019.4
2022-01-01,67.2,49.1,56.7,0.28,7.6,51.6,1010.6
2022-01-02,53.6,36.1,44.6,0.0,4.2,63.4,1019.7
2022-01-03,63.3,45.3,54.5,0.0,5.5,54.6,1019.2
2022-01-04,59.9,43.3,50.6,0.0,2.4,54.5,1019.0
2022-01-05,66.8,50.3,57.3,0.0,11.2,63.3,1015.4
2022-01-06,57.1,40.2,49.9,0.0,17.2,48.9,1012.3
2022-01-07,62.6,43.3,52.8,0.0,9.6,50.6,1009.4
2022-01-08,63.5,46.9,55.6,0.0,3.3,58.1,1014.8
2022-01-09,67.0,48.2,57.1,0.14,8.4,59.6,1018.1
2022-01-10,58.1,39.1,47.8,0.0,7.2,60.6,1013.8
2022-01-11,61.9,44.6,51.7,0.0,4.9,56.6,1018.1
2022-01-12,60.2,42.6,51.0,0.0,12.4,70.7,1018.4
2022-01-13,59.2,42.4,50.1,0.0,12.2,56.9,1013.9
2022-01-14,68.6,53.6,61.0,0.46,6.4,56.9,1017.3
2022-01-15,65.0,44.0,54.9,0.0,11.9,54.0,1003.4
2022-01-16,55.4,37.9,47.3,0.0,15.1,58.6,1010.1
2022-01-17,66.1,47.2,57.1,0.1,18.6,61.1,1008.3
2022-01-18,70.7,54.3,62.6,0.0,20.5,64.0,1011.7
2022-01-19,65.2,49.1,57.6,0.31,7.4,50.6,1013.3
2022-01-20,55.7,38.2,46.2,0.0,20.3,56.8,1016.2
2022-01-21,58.1,43.4,50.8,0.23,9.6,60.2,1013.6
2022-01-22,68.7,51.0,58.7,0.0,6.6,61.0,1017.4
2022-01-23,58.1,39.7,49.9,0.0,10.3,58.1,1011.2
2022-01-24,62.1,45.4,55.1,0.0,6.7,60.8,1010.1
2022-01-25,65.6,47.4,56.6,0.0,10.6,54.0,1016.6
2022-01-26,56.2,40.1,49.0,0.0,3.7,65.9,1012.5
2022-01-27,61.0,42.2,52.9,0.0,8.0,63.1,1008.7
2022-01-28,48.5,31.4,38.6,1.05,16.1,51.4,1015.9
2022-01-29,55.9,40.6,48.7,0.0,8.8,52.8,1020.6
2022-01-30,62.6,43.8,52.2,0.02,11.6,53.0,1018.2
2022-01-31,54.8,37.7,47.8,0.0,10.9,61.7,1015.7
2022-02-01,68.8,49.8,60.8,0.0,13.7,51.9,1017.5
2022-02-02,57.1,39.1,47.1,0.0,2.4,56.7,1020.5
2022-02-03,59.9,41.1,51.6,0.0,11.3,60.7,1012.4
2022-02-04,61.7,44.0,54.3,1.31,9.9,58.1,1016.4
2022-02-05,68.7,52.4,60.3,0.0,9.7,59.8,1016.1
2022-02-06,55.5,38.8,47.4,0.0,13.2,53.3,1018.7
2022-02-07,69.6,50.6,59.2,0.0,4.2,61.6,1015.7
2022-02-08,62.4,43.2,54.1,0.0,4.9,55.7,1020.2
2022-02-09,59.9,42.1,49.8,0.2,3.3,57.2,1012.9
2022-02-10,67.0,46.2,56.4,0.0,6.8,60.1,1009.1
2022-02-11,64.1,47.0,55.3,0.0,14.3,59.5,1020.8
2022-02-12,62.5,41.9,51.9,0.0,8.5,59.2,1011.2
2022-02-13,63.5,46.3,55.0,0.0,3.6,55.4,1020.0
2022-02-14,63.9,43.8,53.1,0.0,7.1,57.7,1014.6
2022-02-15,62.8,45.1,55.5,0.0,3.0,59.3,1019.7
2022-02-16,67.8,47.9,58.1,0.0,4.5,52.5,1019.5
2022-02-17,71.4,51.9,62.4,0.0,10.6,57.2,1016.7
2022-02-18,58.4,42.6,49.8,0.0,4.3,61.5,1017.0
2022-02-19,74.7,55.4,65.1,0.0,13.5,53.3,1016.7
2022-02-20,56.7,39.4,46.9,0.0,8.7,65.6,1006.9
2022-02-21,62.2,46.5,55.2,0.0,9.3,66.3,1015.5
2022-02-22,66.4,49.5,58.7,0.0,7.9,53.8,1010.5
2022-02-23,67.3,48.9,57.5,0.0,12.1,66.9,1015.7
2022-02-24,63.3,44.5,53.6,0.0,12.1,59.5,1010.4
2022-02-25,66.5,44.7,55.6,0.0,10.3,62.5,1010.3
2022-02-26,64.6,47.0,54.6,0.0,11.3,58.0,1021.4
2022-02-27,65.1,44.6,54.3,0.46,10.2,65.3,1016.3
2022-02-28,70.8,52.4,61.0,0.0,11.2,62.8,1015.0
2022-03-01,67.2,51.4,59.0,0.0,7.6,56.8,1015.7
2022-03-02,61.9,46.8,54.4,0.0,9.0,55.2,1014.0
2022-03-03,71.9,51.0,61.8,0.0,7.9,53.9,1017.3
2022-03-04,68.9,48.8,59.4,0.0,7.2,62.3,1012.3
2022-03-05,69.0,51.2,61.9,0.0,6.2,64.3,1019.0
2022-03-06,69.7,50.3,61.2,0.37,12.9,64.9,1011.0
2022-03-07,65.7,47.1,54.9,0.0,14.2,61.2,1013.3
2022-03-08,65.3,47.9,56.3,0.0,13.7,56.1,1015.1
2022-03-09,71.2,52.8,62.5,0.0,4.0,58.7,1012.6
2022-03-10,70.9,53.1,62.1,0.0,14.2,68.0,1016.3
2022-03-11,67.3,50.8,59.5,0.0,7.7,60.0,1012.9
2022-03-12,68.8,51.9,60.3,0.0,11.4,63.3,1016.9
2022-03-13,74.3,56.4,65.8,0.0,5.4,57.3,1019.9
2022-03-14,64.8,48.3,57.6,0.0,9.6,64.6,1012.1
2022-03-15,73.1,55.4,63.0,0.0,10.3,60.7,1014.5
2022-03-16,68.6,51.0,59.9,0.0,3.1,68.4,1016.8
2022-03-17,70.4,50.9,60.1,0.0,11.4,67.2,1013.3
2022-03-18,76.7,57.0,66.3,0.0,14.4,61.1,1016.9
2022-03-19,73.1,57.5,65.3,0.0,8.3,63.1,1017.2
2022-03-20,75.1,55.5,65.5,0.0,14.4,61.1,1019.3
2022-03-21,76.9,60.9,68.0,0.0,8.2,57.0,1012.6
2022-03-22,73.0,54.1,62.5,0.0,12.4,60.0,1011.2
2022-03-23,73.6,55.6,65.7,0.0,0.1,65.4,1013.8
2022-03-24,71.3,52.3,61.5,0.0,18.7,66.3,1011.1
2022-03-25,74.1,56.6,64.7,0.0,15.0,65.6,1017.3
2022-03-26,71.1,53.1,62.9,0.0,7.9,63.5,1010.4
2022-03-27,71.8,54.9,64.2,0.0,1.1,69.9,1024.3
2022-03-28,76.3,56.6,66.7,0.01,12.2,65.7,1017.2
2022-03-29,70.6,50.7,60.7,0.0,3.2,69.1,1015.1
2022-03-30,82.3,64.6,74.1,0.0,10.8,56.9,1018.5
2022-03-31,70.0,51.4,60.4,0.0,10.6,46.3,1008.5
2022-04-01,68.3,52.2,59.8,0.0,5.2,67.6,1025.1
2022-04-02,80.6,62.7,70.7,0.27,15.5,59.2,1009.6
2022-04-03,77.2,60.7,69.4,0.0,12.2,65.5,1014.5
2022-04-04,79.5,59.5,68.9,0.0,12.9,65.2,1007.6
2022-04-05,77.4,60.2,69.2,0.0,9.0,74.9,1016.9
2022-04-06,75.1,58.5,66.7,0.0,3.3,69.1,1010.6
2022-04-07,70.2,55.9,63.0,0.07,14.9,68.2,1012.4
2022-04-08,75.1,58.7,67.7,0.44,9.9,71.7,1009.8
2022-04-09,73.6,56.4,64.6,0.0,3.4,69.6,1010.7
2022-04-10,80.4,62.4,72.3,0.0,14.4,65.7,1011.8
2022-04-11,77.9,60.5,67.6,0.0,17.4,73.5,1015.9
2022-04-12,71.9,55.5,64.8,0.0,8.8,62.8,1009.9
2022-04-13,75.9,56.6,67.4,0.0,17.6,70.2,1012.0
2022-04-14,79.4,63.3,71.0,0.19,11.4,61.0,1014.7
2022-04-15,74.0,58.0,66.9,0.0,7.5,70.0,1025.4
2022-04-16,73.6,58.7,66.1,0.0,6.5,70.1,1016.9
2022-04-17,79.8,61.7,71.2,0.0,15.5,77.8,1011.3
2022-04-18,80.5,62.3,71.5,0.0,5.9,61.8,1013.5
2022-04-19,77.0,59.8,68.4,0.0,11.9,66.8,1015.1
2022-04-20,78.0,59.8,68.9,0.0,6.8,74.1,1013.6
2022-04-21,81.7,61.8,72.4,0.0,7.2,71.9,1018.6
2022-04-22,72.1,57.3,65.1,0.0,13.1,71.3,1015.9
2022-04-23,74.5,58.5,65.6,0.57,9.5,65.8,1015.6
2022-04-24,79.9,58.6,69.0,0.0,7.4,67.9,1013.7
2022-04-25,80.7,62.3,71.6,0.0,13.5,77.3,1020.3
2022-04-26,84.0,63.7,74.3,0.0,15.4,71.0,1014.3
2022-04-27,88.0,70.4,79.8,0.0,11.6,73.3,1011.1
2022-04-28,87.4,67.1,77.3,0.09,8.4,71.1,1020.7
2022-04-29,83.1,64.3,73.1,0.0,7.0,65.9,1007.7
2022-04-30,83.1,64.0,74.0,0.01,11.3,76.7,1009.0
2022-05-01,80.8,59.2,69.9,0.0,10.3,74.8,1012.5
2022-05-02,82.1,65.3,74.6,0.0,5.0,84.0,1025.0
2022-05-03,80.8,66.0,73.7,0.0,11.9,67.6,1022.2
2022-05-04,86.8,68.7,76.7,0.0,9.3,77.0,1021.0
2022-05-05,82.1,64.1,71.9,0.0,2.1,66.5,1013.7
2022-05-06,85.7,70.2,78.2,0.0,5.3,74.0,1024.7
2022-05-07,91.1,74.9,83.1,0.0,7.0,78.3,1016.5
2022-05-08,83.1,66.8,76.0,0.1,10.7,63.3,1015.9
2022-05-09,86.8,69.2,78.6,0.0,16.6,72.8,1015.7
2022-05-10,90.3,71.5,80.2,0.77,12.0,71.2,1011.8
2022-05-11,84.6,66.1,75.6,0.48,7.6,70.7,1011.0
2022-05-12,87.1,71.3,78.7,2.17,11.9,76.4,1011.2
2022-05-13,86.5,70.6,78.0,0.53,9.6,80.2,1014.4
2022-05-14,85.7,71.0,78.7,0.43,12.3,74.1,1013.5
2022-05-15,83.2,66.0,75.0,0.24,13.3,76.0,1011.9
2022-05-16,88.5,71.0,78.9,0.5,15.8,75.8,1018.0
2022-05-17,92.2,73.2,81.3,0.0,8.9,75.4,1003.1
2022-05-18,96.3,77.3,85.9,0.0,15.6,70.1,1017.0
2022-05-19,91.0,73.7,83.9,0.36,14.6,81.3,1014.9
2022-05-20,100.2,82.5,89.6,0.0,6.2,77.4,1019.6
2022-05-21,86.8,67.1,76.7,0.0,17.8,78.1,1014.7
2022-05-22,94.5,74.7,84.3,0.22,12.3,72.2,1012.8
2022-05-23,90.3,71.3,81.5,0.55,7.7,74.2,1015.9
2022-05-24,99.4,80.1,90.8,0.0,15.6,75.7,1021.0
2022-05-25,85.8,70.5,77.6,0.0,17.3,69.1,1013.8
2022-05-26,84.9,70.1,77.7,0.0,8.9,68.5,1016.1
2022-05-27,86.9,68.5,79.0,0.0,7.0,74.1,1021.7
2022-05-28,80.4,63.6,72.4,0.0,8.3,79.9,1006.5
2022-05-29,88.8,70.6,79.8,0.06,13.9,74.2,1009.2
2022-05-30,89.0,69.4,79.0,0.38,16.1,72.5,1017.9
